,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
2200,33,18,422,8.5,6.2,1,purple
2201,5,1,25,9.8,6.45,1,purple
2202,1,1,2,8.4,6.683333333333333,1,purple
2203,38,26,239,7.7,4.583333333333333,1,purple
2204,55,31,432,6.2,6.116666666666667,1,purple
2205,5,2,12,9.4,7.883333333333333,1,purple
2206,9,2,66,6.3,5.683333333333333,1,purple
2207,11,7,13,11.7,5.383333333333333,1,purple
2208,7,4,54,7.2,5.9,1,purple
2209,7,4,19,4.5,4.733333333333334,1,purple
2210,20,7,183,26.3,7.466666666666666,1,purple
2211,4,1,6,14.7,6.666666666666667,1,purple
2212,7,4,31,11.0,4.383333333333334,1,purple
2213,2,0,5,19.6,8.299999999999999,1,purple
2214,5,4,5,9.4,6.75,1,purple
2215,20,17,211,12.0,5.266666666666667,1,purple
2216,3,1,4,19.5,12.583333333333334,1,purple
2217,1,0,12,22.7,9.916666666666666,1,purple
2218,6,4,52,17.2,7.45,1,purple
2219,2,1,1,17.9,6.099999999999999,1,purple
2220,11,3,22,14.0,5.733333333333334,1,purple
2221,3,1,2,15.7,4.55,1,purple
2222,3,3,9,9.6,6.95,1,purple
2223,1,1,2,19.7,5.966666666666666,1,purple
2224,6,1,58,11.2,5.616666666666667,1,purple
2225,3,1,6,11.7,6.133333333333333,1,purple
2226,3,1,9,10.2,3.8000000000000007,1,purple
2227,19,14,409,11.3,5.8500000000000005,1,purple
2228,2,2,6,11.6,7.633333333333333,1,purple
2229,6,3,9,19.1,8.016666666666666,1,purple
2230,3,2,27,20.2,8.950000000000001,1,purple
2231,2,2,18,31.4,10.8,1,purple
2232,8,2,43,10.6,6.333333333333333,1,purple
2233,2,2,6,7.7,7.399999999999999,1,purple
2234,6,4,13,14.0,7.266666666666667,1,purple
2235,4,2,85,16.5,6.833333333333333,1,purple
2236,3,0,5,7.8,6.199999999999999,1,purple
2237,3,2,11,24.5,10.466666666666669,1,purple
2238,4,2,67,7.6,4.433333333333333,1,purple
2239,2,0,3,15.5,5.116666666666667,1,purple
2240,1,0,1,14.1,4.666666666666667,1,purple
2241,3,2,9,13.1,7.966666666666666,1,purple
2242,11,7,38,6.5,5.55,1,purple
2243,2,0,1,10.9,7.966666666666668,1,purple
